Infografia,Provincia,Fallecidos,Fecha_reporte,Hora_reporte
24,Azuay,0,2020/03/26 00:00:00,10:00
24,Bolívar,0,2020/03/26 00:00:00,10:00
24,Cañar,0,2020/03/26 00:00:00,10:00
24,Carchi,0,2020/03/26 00:00:00,10:00
24,Chimborazo,0,2020/03/26 00:00:00,10:00
24,Cotopaxi,1,2020/03/26 00:00:00,10:00
24,Imbabura,1,2020/03/26 00:00:00,10:00
24,Loja,0,2020/03/26 00:00:00,10:00
24,Pichincha,3,2020/03/26 00:00:00,10:00
24,Santo Domingo de los Tsáchilas,0,2020/03/26 00:00:00,10:00
24,Tungurahua,0,2020/03/26 00:00:00,10:00
24,El Oro,3,2020/03/26 00:00:00,10:00
24,Esmeraldas,0,2020/03/26 00:00:00,10:00
24,Guayas,21,2020/03/26 00:00:00,10:00
24,Los Ríos,3,2020/03/26 00:00:00,10:00
24,Manabí,0,2020/03/26 00:00:00,10:00
24,Santa Elena,2,2020/03/26 00:00:00,10:00
24,Morona Santiago,0,2020/03/26 00:00:00,10:00
24,Napo,0,2020/03/26 00:00:00,10:00
24,Orellana,0,2020/03/26 00:00:00,10:00
24,Pastaza,0,2020/03/26 00:00:00,10:00
24,Sucumbíos,0,2020/03/26 00:00:00,10:00
24,Zamora Chinchipe,0,2020/03/26 00:00:00,10:00
24,Galápagos,0,2020/03/26 00:00:00,10:00
25,Azuay,0,2020/03/26 00:00:00,17:00
25,Bolívar,0,2020/03/26 00:00:00,17:00
25,Cañar,0,2020/03/26 00:00:00,17:00
25,Carchi,0,2020/03/26 00:00:00,17:00
25,Chimborazo,0,2020/03/26 00:00:00,17:00
25,Cotopaxi,1,2020/03/26 00:00:00,17:00
25,Imbabura,1,2020/03/26 00:00:00,17:00
25,Loja,0,2020/03/26 00:00:00,17:00
25,Pichincha,3,2020/03/26 00:00:00,17:00
25,Santo Domingo de los Tsáchilas,0,2020/03/26 00:00:00,17:00
25,Tungurahua,0,2020/03/26 00:00:00,17:00
25,El Oro,3,2020/03/26 00:00:00,17:00
25,Esmeraldas,0,2020/03/26 00:00:00,17:00
25,Guayas,21,2020/03/26 00:00:00,17:00
25,Los Ríos,3,2020/03/26 00:00:00,17:00
25,Manabí,0,2020/03/26 00:00:00,17:00
25,Santa Elena,2,2020/03/26 00:00:00,17:00
25,Morona Santiago,0,2020/03/26 00:00:00,17:00
25,Napo,0,2020/03/26 00:00:00,17:00
25,Orellana,0,2020/03/26 00:00:00,17:00
25,Pastaza,0,2020/03/26 00:00:00,17:00
25,Sucumbíos,0,2020/03/26 00:00:00,17:00
25,Zamora Chinchipe,0,2020/03/26 00:00:00,17:00
25,Galápagos,0,2020/03/26 00:00:00,17:00
26,Azuay,0,2020/03/27 00:00:00,17:00
26,Bolívar,0,2020/03/27 00:00:00,17:00
26,Cañar,0,2020/03/27 00:00:00,17:00
26,Carchi,0,2020/03/27 00:00:00,17:00
26,Chimborazo,0,2020/03/27 00:00:00,17:00
26,Cotopaxi,1,2020/03/27 00:00:00,17:00
